ticker,date,close
AIM,2018-11-02,$0.22
AIM,2018-11-01,$0.23
AIM,2018-10-31,$0.23
AIM,2018-10-30,$0.21
AIM,2018-10-29,$0.20
AIM,2018-10-26,$0.21
AIM,2018-10-25,$0.20
AIM,2018-10-24,$0.20
AIM,2018-10-23,$0.21
AIM,2018-10-22,$0.21
AIM,2018-10-19,$0.21
AIM,2018-10-18,$0.22
AIM,2018-10-17,$0.21
AIM,2018-10-16,$0.22
AIM,2018-10-15,$0.21
AIM,2018-10-12,$0.22
AIM,2018-10-11,$0.21
AIM,2018-10-10,$0.23
AIM,2018-10-09,$0.23
AIM,2018-10-08,$0.23
AIM,2018-10-05,$0.23
AIM,2018-10-04,$0.24
AIM,2018-10-03,$0.24
AIM,2018-10-02,$0.23
AIM,2018-10-01,$0.24
AIM,2018-09-28,$0.23
AIM,2018-09-27,$0.23
AIM,2018-09-26,$0.23
AIM,2018-09-25,$0.23
AIM,2018-09-24,$0.23
AIM,2018-09-21,$0.24
AIM,2018-09-20,$0.23
AIM,2018-09-19,$0.23
AIM,2018-09-18,$0.23
AIM,2018-09-17,$0.23
AIM,2018-09-14,$0.23
AIM,2018-09-13,$0.25
AIM,2018-09-12,$0.26
AIM,2018-09-11,$0.25
AIM,2018-09-10,$0.26
AIM,2018-09-07,$0.26
AIM,2018-09-06,$0.27
AIM,2018-09-05,$0.27
AIM,2018-09-04,$0.27
AIM,2018-08-31,$0.28
AIM,2018-08-30,$0.29
AIM,2018-08-29,$0.28
AIM,2018-08-28,$0.27
AIM,2018-08-27,$0.28
AIM,2018-08-24,$0.27
AIM,2018-08-23,$0.27
AIM,2018-08-22,$0.26
AIM,2018-08-21,$0.27
AIM,2018-08-20,$0.26
AIM,2018-08-17,$0.28
AIM,2018-08-16,$0.28
AIM,2018-08-15,$0.29
AIM,2018-08-14,$0.30
AIM,2018-08-13,$0.30
AIM,2018-08-10,$0.30
AIM,2018-08-09,$0.30
AIM,2018-08-08,$0.30
AIM,2018-08-07,$0.29
AIM,2018-08-06,$0.29
AIM,2018-08-03,$0.30
AIM,2018-08-02,$0.30
AIM,2018-08-01,$0.30
AIM,2018-07-31,$0.29
AIM,2018-07-30,$0.30
AIM,2018-07-27,$0.31
AIM,2018-07-26,$0.29
AIM,2018-07-25,$0.30
AIM,2018-07-24,$0.30
AIM,2018-07-23,$0.30
AIM,2018-07-20,$0.31
AIM,2018-07-19,$0.31
AIM,2018-07-18,$0.31
AIM,2018-07-17,$0.31
AIM,2018-07-16,$0.30
AIM,2018-07-13,$0.31
AIM,2018-07-12,$0.31
AIM,2018-07-11,$0.31
AIM,2018-07-10,$0.30
AIM,2018-07-09,$0.31
AIM,2018-07-06,$0.30
AIM,2018-07-05,$0.30
AIM,2018-07-03,$0.30
AIM,2018-07-02,$0.32
AIM,2018-06-29,$0.32
AIM,2018-06-28,$0.31
AIM,2018-06-27,$0.31
AIM,2018-06-26,$0.31
AIM,2018-06-25,$0.31
AIM,2018-06-22,$0.32
AIM,2018-06-21,$0.32
AIM,2018-06-20,$0.32
AIM,2018-06-19,$0.32
AIM,2018-06-18,$0.31
AIM,2018-06-15,$0.30
AIM,2018-06-14,$0.30
AIM,2018-06-13,$0.31
AIM,2018-06-12,$0.31
AIM,2018-06-11,$0.32
AIM,2018-06-08,$0.32
AIM,2018-06-07,$0.32
AIM,2018-06-06,$0.31
AIM,2018-06-05,$0.33
AIM,2018-06-04,$0.31
AIM,2018-06-01,$0.32
AIM,2018-05-31,$0.32
AIM,2018-05-30,$0.30
AIM,2018-05-29,$0.30
AIM,2018-05-25,$0.31
AIM,2018-05-24,$0.32
AIM,2018-05-23,$0.31
AIM,2018-05-22,$0.32
AIM,2018-05-21,$0.31
AIM,2018-05-18,$0.32
AIM,2018-05-17,$0.30
AIM,2018-05-16,$0.30
AIM,2018-05-15,$0.30
AIM,2018-05-14,$0.30
AIM,2018-05-11,$0.30
AIM,2018-05-10,$0.30
AIM,2018-05-09,$0.31
AIM,2018-05-08,$0.31
AIM,2018-05-07,$0.32
AIM,2018-05-04,$0.32
AIM,2018-05-03,$0.31
AIM,2018-05-02,$0.32
AIM,2018-05-01,$0.32
AIM,2018-04-30,$0.32
AIM,2018-04-27,$0.31
AIM,2018-04-26,$0.32
AIM,2018-04-25,$0.31
AIM,2018-04-24,$0.34
AIM,2018-04-23,$0.33
